분석성분,KM-85,LKC-60,KC-009,성주WA,성주PA,대명PB,대명WC-1,대한PC,대한WC-2
SiO2,47.6,49.4,47.8,48.4,45.4,44.5,46.7,43.9,45.8
Al2O3,36.8,35.4,36.5,34,37.7,37.1,33.3,36.8,33.4
Fe2O3,0.39,0.39,0.47,1.06,1.24,1.77,0.94,1.21,1.48
CaO,0.07,0.09,0.09,4.67,0.2,0.6,7.77,1.21,6.76
MgO,0.05,0.22,0.02,0.22,0.18,0.48,0.31,0.66,0.86
K2O,1.13,2.51,0.81,0.51,0.33,0.64,0.6,0.29,0.36
Na2O,0.44,0.32,0.71,1.7,0.45,0.45,1.75,0.39,0.34
TiO2,0.02,0.01,0.01,0.08,0.17,0.23,0.12,0.24,0.13
MnO,0.03,0.02,<0.01,0.01,0.02,0.02,0.02,0.03,0.03
P2O5,0.04,0.19,0.15,<0.01,-,0.01,0.01,0.01,0.01
ZrO2,<0.01,0.02,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01
Li2O,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01
SrO,<0.01,<0.01,<0.01,0.04,0.01,<0.01,<0.01,<0.01,<0.01
ZnO,0.01,<0.01,-,0.01,0.01,<0.01,-,<0.01,<0.01
Cr2O3,<0.01,<0.01,<0.01,-,<0.01,<0.01,-,<0.01,<0.01
BaO,0.01,-,-,0.02,-,<0.01,-,<0.01,<0.01
감열감량,13.3,11.4,13.4,10.75,14.2,14.51,8.85,14.45,10.14
