분석성분(%),태백특A (정제),해남(정제),행남자기 (정제),태백A급,태백B급,태백C급,압해B급,압해A급
SiO2,80.9,82.3,80.9,78.1,76,76.1,74,72.9
Al2O3,12.7,12.6,12.7,14.4,15.5,13.9,16.7,16.9
Fe2O3,0.58,0.11,0.58,0.65,0.87,2.26,1.04,0.73
CaO,0.02,0.01,0.02,0.11,0.12,0.13,0.11,0.17
MgO,0.14,<0.01,0.14,0.22,0.31,0.33,0.28,0.28
K2O,1.23,0.04,1.23,3.76,4.01,2.32,4.16,5.49
Na2O,0.03,0.01,0.03,0.06,0.09,0.03,0.15,0.5
TiO2,0.1,0.13,0.1,0.08,0.1,0.41,0.11,0.07
MnO,0.02,<0.01,0.01,<0.01,<0.01,<0.01,0.06,0.06
P2O5,0.01,0.05,0.01,0.01,0.02,0.04,0.01,0.01
ZrO2,<0.01,0.01,<0.01,<0.01,<0.01,0.01,<0.01,<0.01
Li2O,0.63,0.03,0.63,0.01,0.02,0.43,0.03,0.01
SrO,<0.01,0.08,<0.01,<0.01,<0.01,0.01,<0.01,<0.01
Cr2O3,<0.01,<0.01,<0.01,<0.01,-,<0.01,<0.01,0.01
BaO,<0.01,0.06,<0.01,0.02,0.02,0.01,0.04,0.01
감열감량,3.53,4.47,3.53,2.49,2.91,3.96,3.3,2.58
