분석성분(%),태백A(정제),태백B급 (정제),태백C급 (정제),압해B급 (정제),압해A급 (정제)
SiO2,76.5,73.3,74.2,67.5,74.4
Al2O3,15.8,17.6,15.8,21,16.5
Fe2O3,0.54,0.81,1.91,1.12,0.41
CaO,0.04,0.04,0.06,0.05,0.06
MgO,0.2,0.34,0.34,0.31,0.24
K2O,4.11,4.46,2.74,5.19,4.01
Na2O,0.08,0.09,0.04,0.17,0.51
TiO2,0.08,0.1,0.44,0.16,0.06
MnO,<0.01,<0.01,<0.01,0.02,0.01
P2O5,<0.01,0.02,0.04,0.01,<0.01
ZrO2,<0.01,0.01,0.01,0.01,<0.01
Li2O,0.01,0.02,0.44,0.02,0.03
SrO,<0.01,<0.01,0.01,<0.01,0.01
Cr2O3,0.01,<0.01,<0.01,<0.01,<0.01
BaO,0.01,0.02,0.01,0.04,0.06
감열감량,2.58,3.1,3.86,4.4,2.38
