온도,순번,sample name,Absorption(%),Shinkage rate(%),Comment,
1200℃,1,CJ,7.7068,16.32222,'백자A,백점토', 
1200℃,2,BJ-A,12.0798,10.82222,'백자B,블랙점토+천안점토',
1200℃,3,BJ-B,10.1459,12.92222,'연분청,오부점토',
1200℃,4,JBC,10.3879,14.94444,'진분청,오부점토',
1200℃,5,YBC,10.8911,13.87222,'청자,홍점토',
1250℃,6,CJ,5.7212,16.93889,,
1250℃,7,BJ-A,9.6892,11.63333,,
1250℃,8,BJ-B,6.92974,14.05556,,
1250℃,9,JBC,8.73964,16.13889,,
1250℃,10,YBC,9.01178,14.68889,,
건조수축,11,CJ,-,10.69167,,
건조수축,12,BJ-A,-,5.82222,,
건조수축,13,BJ-B,-,6.86667,,
건조수축,14,JBC,-,9.79444,,
건조수축,15,YBC,-,8.83888,,
